Country/Region,2022,Rank,Country/Territory,Continent
China,45070,1,China,Asia
Indonesia,14260,4,Indonesia,Asia
India,7580,2,India,Asia
Japan,5980,11,Japan,Asia
Philippines,4290,13,Philippines,Asia
South Korea,3950,29,South Korea,Asia
Thailand,3870,20,Thailand,Asia
Brazil,2830,7,Brazil,South America
Nigeria,2790,6,Nigeria,Africa
Russia,2200,9,Russia,Europe
Nepal,1650,49,Nepal,Asia
Malaysia,1550,45,Malaysia,Asia
Mexico,1510,10,Mexico,North America
Taiwan,880,57,Taiwan,Asia
Saudi Arabia,870,41,Saudi Arabia,Asia
Myanmar,770,26,Myanmar,Asia
South Africa,480,24,South Africa,Africa
Egypt,460,14,Egypt,Africa
Australia,450,55,Australia,Oceania
Bangladesh,440,8,Bangladesh,Asia
Turkey,420,18,Turkey,Asia
Cambodia,400,73,Cambodia,Asia
Germany,390,19,Germany,Europe
Poland,380,37,Poland,Europe
Kazakhstan,360,66,Kazakhstan,Asia
Guatemala,280,68,Guatemala,North America
Pakistan,240,5,Pakistan,Asia
Uzbekistan,210,43,Uzbekistan,Asia
Canada,200,39,Canada,North America
Sri Lanka,200,61,Sri Lanka,Asia
Peru,170,44,Peru,South America
Ethiopia,140,12,Ethiopia,Africa
Singapore,130,113,Singapore,Asia
Kenya,130,27,Kenya,Africa
France,110,23,France,Europe
New Zealand,100,123,New Zealand,Oceania
Spain,90,30,Spain,Europe
Czech Republic,70,88,Czech Republic,Europe
Iran,70,17,Iran,Asia
Sweden,60,87,Sweden,Europe
Netherlands,60,71,Netherlands,Europe
Chile,60,65,Chile,South America
Serbia,50,105,Serbia,Europe
Colombia,50,28,Colombia,South America
Italy,40,25,Italy,Europe
Hungary,40,94,Hungary,Europe
Belgium,20,81,Belgium,Europe
Denmark,20,115,Denmark,Europe
Finland,20,118,Finland,Europe
Switzerland,20,101,Switzerland,Europe
Argentina,10,33,Argentina,South America
Costa Rica,10,124,Costa Rica,North America
Ukraine,,38,Ukraine,Europe